county_state,fips,sex,sex_code,year,cause_of_death,cod_code,place_of_death,place_of_death_code,deaths,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Inpatient,1.0,15.0,90112,9808667,13.7,7.3,245.0,0.15292597862686133,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Outpatient or ER,2.0,10.0,90112,9808667,13.7,7.3,245.0,0.10195065241790756,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,42.0,90112,9808667,13.7,7.3,245.0,0.42819274015521175,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,39.0,90112,9808667,13.7,7.3,245.0,0.3976075444298395,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,52.0,90112,9808667,13.7,7.3,245.0,0.5301433925731193,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,18.0,90112,9808667,13.7,7.3,245.0,0.1835111743522336,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Medical Facility - Inpatient,1.0,13.0,90112,9808667,13.7,7.3,245.0,0.13253584814327982,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Medical Facility - Outpatient or ER,2.0,10.0,90112,9808667,13.7,7.3,245.0,0.10195065241790756,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,87.0,90112,9808667,13.7,7.3,245.0,0.8869706760357957,2.4977909842387347
"Los Angeles County, CA",06037,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,59.0,90112,9808667,13.7,7.3,245.0,0.6015088492656546,2.4977909842387347
